	ImageNumber	ObjectNumber	Intensity_MeanIntensity_Ch01	Intensity_MeanIntensity_Ch02	FileName_DAPI	Sample_Name
275	3	19	0.051657756	0.09774213	Neg_3a	Neg
276	3	20	0.135297974	0.109287726	Neg_3a	Neg
277	3	21	0.124112352	0.136180891	Neg_3a	Neg
278	3	22	0.077084659	0.063600561	Neg_3a	Neg
279	3	23	0.07285439	0.063950501	Neg_3a	Neg
280	3	24	0.077035426	0.065512792	Neg_3a	Neg
281	3	25	0.153112578	0.226415748	Neg_3a	Neg
282	3	26	0.070109744	0.063920531	Neg_3a	Neg
283	3	27	0.078923354	0.073775404	Neg_3a	Neg
284	3	28	0.092233383	0.067393594	Neg_3a	Neg
285	3	29	0.117398588	0.084805274	Neg_3a	Neg
286	3	30	0.14307135	0.674064926	Neg_3a	Neg
287	3	31	0.096407846	0.141145102	Neg_3a	Neg
288	3	32	0.183328646	0.229852714	Neg_3a	Neg
289	3	33	0.145380678	0.524765952	Neg_3a	Neg
290	3	34	0.167980206	0.137064538	Neg_3a	Neg
291	3	35	0.130157368	0.132042876	Neg_3a	Neg
292	3	36	0.134226435	0.174590388	Neg_3a	Neg
293	3	37	0.089360336	0.075120543	Neg_3a	Neg
294	3	38	0.1359355	0.19708265	Neg_3a	Neg
295	3	39	0.204239537	0.218371317	Neg_3a	Neg
296	3	40	0.196059582	0.205901212	Neg_3a	Neg
297	3	41	0.165134103	0.183231917	Neg_3a	Neg
298	3	42	0.150408039	0.204120976	Neg_3a	Neg
299	3	43	0.191095895	0.197408009	Neg_3a	Neg
300	3	44	0.142541578	0.162571362	Neg_3a	Neg
301	3	45	0.153144898	0.172939482	Neg_3a	Neg
302	3	46	0.140863485	0.194642369	Neg_3a	Neg
303	3	47	0.10693304	0.104254534	Neg_3a	Neg
304	3	48	0.145801368	0.203314156	Neg_3a	Neg
305	3	49	0.096710599	0.094149793	Neg_3a	Neg
306	3	50	0.152820393	0.13153763	Neg_3a	Neg
307	3	51	0.183244958	0.218645956	Neg_3a	Neg
308	3	52	0.116251416	0.150179374	Neg_3a	Neg
309	3	53	0.14538153	0.129459017	Neg_3a	Neg
310	3	54	0.114267704	0.104583572	Neg_3a	Neg
311	3	55	0.1104445	0.080853061	Neg_3a	Neg
312	3	56	0.115967802	0.143379271	Neg_3a	Neg
313	3	57	0.082386461	0.063013242	Neg_3a	Neg
314	3	58	0.135616316	0.149617973	Neg_3a	Neg
315	3	59	0.232672145	0.220390644	Neg_3a	Neg
316	3	60	0.203275258	0.251198749	Neg_3a	Neg
317	3	61	0.162199493	0.087365731	Neg_3a	Neg
318	3	62	0.137137844	0.082250515	Neg_3a	Neg
319	3	63	0.096288914	0.083604744	Neg_3a	Neg
320	3	64	0.111122644	0.069814301	Neg_3a	Neg
321	3	65	0.111751894	0.071767272	Neg_3a	Neg
322	3	66	0.089820869	0.078225614	Neg_3a	Neg
323	3	67	0.136785041	0.117990426	Neg_3a	Neg
324	3	68	0.142514788	0.163118585	Neg_3a	Neg
325	3	69	0.14250458	0.104742486	Neg_3a	Neg
326	3	70	0.139654405	0.151463878	Neg_3a	Neg
327	3	71	0.140646156	0.166213108	Neg_3a	Neg
328	3	72	0.089994671	0.083869441	Neg_3a	Neg
329	3	73	0.089785684	0.132444144	Neg_3a	Neg
330	3	74	0.123751451	0.110642027	Neg_3a	Neg
331	3	75	0.195063442	0.167923879	Neg_3a	Neg
332	3	76	0.151818301	0.145676496	Neg_3a	Neg
333	3	77	0.138471945	0.224818577	Neg_3a	Neg
334	3	78	0.087597263	0.068292876	Neg_3a	Neg
335	3	79	0.150026086	0.143091232	Neg_3a	Neg
336	3	80	0.134848489	0.183707669	Neg_3a	Neg
337	3	81	0.161364996	0.152169594	Neg_3a	Neg
338	3	82	0.204890155	0.180297665	Neg_3a	Neg
339	3	83	0.209497375	0.19736249	Neg_3a	Neg
340	3	84	0.168434393	0.202003022	Neg_3a	Neg
341	3	85	0.155649798	0.122216147	Neg_3a	Neg
342	3	86	0.109820029	0.080549183	Neg_3a	Neg
343	3	87	0.10069321	0.063874037	Neg_3a	Neg
344	3	88	0.15280749	0.123636368	Neg_3a	Neg
345	3	89	0.092471991	0.101085436	Neg_3a	Neg
346	3	90	0.110102381	0.083248311	Neg_3a	Neg
347	3	91	0.153246192	0.138289765	Neg_3a	Neg
348	3	92	0.114586326	0.075334771	Neg_3a	Neg
349	3	93	0.102413276	0.074751134	Neg_3a	Neg
350	3	94	0.091332953	0.086811013	Neg_3a	Neg
351	3	95	0.107036163	0.091775696	Neg_3a	Neg
352	3	96	0.092132201	0.075619685	Neg_3a	Neg
353	3	97	0.156092652	0.12293111	Neg_3a	Neg
354	3	98	0.0865459	0.08704797	Neg_3a	Neg
355	3	99	0.118853699	0.14412603	Neg_3a	Neg
356	3	100	0.187656226	0.228982964	Neg_3a	Neg
357	3	101	0.187086785	0.160346069	Neg_3a	Neg
358	3	102	0.179849174	0.191714433	Neg_3a	Neg
359	3	103	0.166641015	0.240065979	Neg_3a	Neg
360	3	104	0.168216819	0.136187254	Neg_3a	Neg
361	3	105	0.08339017	0.081571472	Neg_3a	Neg
362	3	106	0.163296422	0.20156288	Neg_3a	Neg
363	3	107	0.146917711	0.119533575	Neg_3a	Neg
364	3	108	0.197777783	0.196530011	Neg_3a	Neg
365	3	109	0.171880823	0.131646406	Neg_3a	Neg
366	3	110	0.164207909	0.227865968	Neg_3a	Neg
367	3	111	0.159933723	0.199491859	Neg_3a	Neg
368	3	112	0.172494808	0.306605229	Neg_3a	Neg
369	3	113	0.163829899	0.199205506	Neg_3a	Neg
370	3	114	0.149757789	0.17933103	Neg_3a	Neg
371	3	115	0.137833309	0.123211294	Neg_3a	Neg
372	3	116	0.152116901	0.187435998	Neg_3a	Neg
373	3	117	0.144766124	0.172192517	Neg_3a	Neg
374	3	118	0.170359056	0.24247518	Neg_3a	Neg
375	3	119	0.186587436	0.230752455	Neg_3a	Neg
376	3	120	0.146338624	0.206860669	Neg_3a	Neg
377	3	121	0.171400281	0.219360277	Neg_3a	Neg
378	3	122	0.166740283	0.171317677	Neg_3a	Neg
379	3	123	0.193670454	0.17878684	Neg_3a	Neg
380	3	124	0.203747511	0.234147348	Neg_3a	Neg
381	3	125	0.146702321	0.146686116	Neg_3a	Neg
382	3	126	0.167967682	0.205507994	Neg_3a	Neg
383	3	127	0.279132758	0.281620855	Neg_3a	Neg
384	3	128	0.223879015	0.200015206	Neg_3a	Neg
385	3	129	0.190859433	0.243732327	Neg_3a	Neg
386	3	130	0.148074056	0.19127103	Neg_3a	Neg
387	3	131	0.152511812	0.100629743	Neg_3a	Neg
388	3	132	0.132269077	0.095609927	Neg_3a	Neg
389	3	133	0.126402893	0.151226121	Neg_3a	Neg
390	3	134	0.140099743	0.151184409	Neg_3a	Neg
391	3	135	0.132841806	0.105123687	Neg_3a	Neg
392	3	136	0.130545591	0.10279295	Neg_3a	Neg
393	3	137	0.129492349	0.155994274	Neg_3a	Neg
394	3	138	0.087747008	0.078927293	Neg_3a	Neg
395	3	139	0.134187013	0.118394028	Neg_3a	Neg
396	3	140	0.084150329	0.076518249	Neg_3a	Neg
397	3	141	0.124541952	0.11634523	Neg_3a	Neg
398	3	142	0.128122126	0.131552402	Neg_3a	Neg
399	3	143	0.091080645	0.074428722	Neg_3a	Neg
400	3	144	0.140668123	0.136030713	Neg_3a	Neg
401	3	145	0.365567907	0.241595345	Neg_3a	Neg
402	3	146	0.131798528	0.114531919	Neg_3a	Neg
403	3	147	0.39155169	0.280561617	Neg_3a	Neg
404	3	148	0.09129327	0.075005312	Neg_3a	Neg
405	3	149	0.235683987	0.215881212	Neg_3a	Neg
406	3	150	0.081843448	0.079728272	Neg_3a	Neg
407	3	151	0.08479392	0.080482195	Neg_3a	Neg
408	3	152	0.089661321	0.083447927	Neg_3a	Neg
409	3	153	0.167743578	0.271482279	Neg_3a	Neg
410	3	154	0.129285522	0.199597589	Neg_3a	Neg
411	3	155	0.135656304	0.232271769	Neg_3a	Neg
412	3	156	0.12596337	0.121962939	Neg_3a	Neg
413	3	157	0.123308382	0.102017827	Neg_3a	Neg
